id,name,desc,type,md5,omics_id,omics_type
23,PRO000000024_EPT000000024_SCT000000024.h5ad,sct_expr,h5ad,a5475c0822e6e911c35a00ccd419be77,SCT000000024,1
24,PRO000000026_EPT000000026_SCT000000026.h5ad,sct_expr,h5ad,6c0d8121425453554a4b3bd1e02b190e,SCT000000026,1
25,PRO000000027_EPT000000027_SCT000000027.h5ad,sct_expr,h5ad,5c64bdad3a91fc42213895de4c45d2bf,SCT000000027,1
26,PRO000000028_EPT000000028_SCT000000028.h5ad,sct_expr,h5ad,aa78b343962cab14edc487d131851bfa,SCT000000028,1
27,PRO000000029_EPT000000029_SCT000000029.h5ad,sct_expr,h5ad,d6024abaef8b22d424152052f76cfc5c,SCT000000029,1
28,PRO000000030_EPT000000030_SCT000000030.h5ad,sct_expr,h5ad,c7f2fc1b6432ac0427a51cb46f8968e2,SCT000000030,1
29,PRO000000031_EPT000000031_SCT000000031.h5ad,sct_expr,h5ad,f47c92b2ba2bcf97c3d6fa1279d5288a,SCT000000031,1
30,PRO000000033_EPT000000033_SCT000000033.h5ad,sct_expr,h5ad,70a461adcdf625c1506627a966743ce7,SCT000000033,1
31,PRO000000034_EPT000000034_SCT000000034.h5ad,sct_expr,h5ad,b4c9171cab4ca6849dc50a18dbb02373,SCT000000034,1
32,PRO000000038_EPT000000038_SCT000000038.h5ad,sct_expr,h5ad,42170ebb33fb6f37b6ca94f408e79b21,SCT000000038,1
33,PRO000000039_EPT000000039_SCT000000039.h5ad,sct_expr,h5ad,aa19245bb19bcc0ffb2c38af41629df8,SCT000000039,1
34,PRO000000040_EPT000000040_SCT000000040.h5ad,sct_expr,h5ad,d36d39dcec99d8bef8cadfd75132afe6,SCT000000040,1
35,PRO000000041_EPT000000041_SCT000000041.h5ad,sct_expr,h5ad,c5b6ffe0b4504a9e6b9ecd3ff42f6d4b,SCT000000041,1
36,PRO000000042_EPT000000042_SCT000000042.h5ad,sct_expr,h5ad,52b1f157ebf7ca0de44412d91fb07a77,SCT000000042,1
37,PRO000000043_EPT000000043_SCT000000043.h5ad,sct_expr,h5ad,5453791464053719e9bfa4cd674ef53f,SCT000000043,1
38,PRO000000044_EPT000000044_SCT000000044.h5ad,sct_expr,h5ad,a763b18139c58a1a4cbb24712a80aded,SCT000000044,1
39,PRO000000046_EPT000000046_SCT000000046.h5ad,sct_expr,h5ad,2ec5486e21d9635d83b82be5b6a15915,SCT000000046,1
40,PRO000000047_EPT000000047_SCT000000047.h5ad,sct_expr,h5ad,1aa70fa926b60333dffb11312556ac5d,SCT000000047,1
41,PRO000000048_EPT000000048_SCT000000048.h5ad,sct_expr,h5ad,4be1a9b320a23326c2332c8f6b40f9dd,SCT000000048,1
42,PRO000000049_EPT000000049_SCT000000049.h5ad,sct_expr,h5ad,ae774042c14b957563d1a98ba4a2be46,SCT000000049,1
43,PRO000000051_EPT000000051_SCT000000051.h5ad,sct_expr,h5ad,9d60a9c4eed8ce39fcdfdf948a814689,SCT000000051,1
44,PRO000000052_EPT000000052_SCT000000052.h5ad,sct_expr,h5ad,844cfb7f67694cf2eecd8dbf5ffa21a7,SCT000000052,1
45,PRO000000053_EPT000000053_SCT000000053.h5ad,sct_expr,h5ad,d867299973f66f9c3f49402461885598,SCT000000053,1
46,PRO000000055_EPT000000055_SCT000000055.h5ad,sct_expr,h5ad,d1e7f8689135fc6501155e175a84d2dc,SCT000000055,1
47,PRO000000056_EPT000000056_SCT000000056.h5ad,sct_expr,h5ad,465a6487545a2d0b9787043de6f0e293,SCT000000056,1
48,PRO000000057_EPT000000057_SCT000000057.h5ad,sct_expr,h5ad,6161b8bde2249cb862789f470b0b3188,SCT000000057,1
49,PRO000000058_EPT000000058_SCT000000058.h5ad,sct_expr,h5ad,e608d85bce9dae4bf584c7515b8333ed,SCT000000058,1
