id,annotation_id,type,project_id,experiment_id,omics_id,sample_id,celltype_id,celltype_name,celltype_ontology,root_celltype_id,father_celltype_id,path,celltype_number
227660,ANO000000171,1,290,295,SCT000000267,SAM000181399,3499,T cell,CL:0000084,3499,,/3499,4
227661,ANO000000171,1,290,295,SCT000000267,SAM000181399,3527,Hepatocyte,,3527,,/3527,5
227662,ANO000000171,1,290,295,SCT000000267,SAM000181399,3512,Carcinoma 2,,3512,,/3512,8
227663,ANO000000171,1,290,295,SCT000000267,SAM000181399,3529,LVECt,,3529,,/3529,1
227664,ANO000000171,1,290,295,SCT000000267,SAM000181399,3600,cDC2,,3600,,/3600,3
227665,ANO000000171,1,290,295,SCT000000267,SAM000181395,3551,SAM,,3551,,/3551,32
227666,ANO000000171,1,290,295,SCT000000267,SAM000181395,3577,TM1,,3577,,/3577,12
227667,ANO000000171,1,290,295,SCT000000267,SAM000181395,3527,Hepatocyte,,3527,,/3527,4
227668,ANO000000171,1,290,295,SCT000000267,SAM000181395,3501,Carcinoma 1,,3501,,/3501,25
227669,ANO000000171,1,290,295,SCT000000267,SAM000181395,186,Kupffer cell,CL:0000091,186,,/186,3
227670,ANO000000171,1,290,295,SCT000000267,SAM000181395,3595,Stellate cell,,3595,,/3595,1
227671,ANO000000171,1,290,295,SCT000000267,SAM000181399,3517,CAF,,3517,,/3517,1
227672,ANO000000171,1,290,295,SCT000000267,SAM000181399,3530,Proliferation,,3530,,/3530,2
227673,ANO000000171,1,290,295,SCT000000267,SAM000181390,3551,SAM,,3551,,/3551,5
227674,ANO000000171,1,290,295,SCT000000267,SAM000181390,3530,Proliferation,,3530,,/3530,2
227675,ANO000000171,1,290,295,SCT000000267,SAM000181390,3600,cDC2,,3600,,/3600,6
227676,ANO000000171,1,290,295,SCT000000267,SAM000181390,3613,LVEC,,3613,,/3613,4
227677,ANO000000171,1,290,295,SCT000000267,SAM000181390,3550,B cell,CL:0000236,3550,,/3550,3
227678,ANO000000171,1,290,295,SCT000000267,SAM000181390,3529,LVECt,,3529,,/3529,2
