id,project_id,omics_id,annotation_id,annotation_type,name,logfoldchange,method,pval,pval_adj,score,layer,father_uplayer,gene_id,celltype_id,celltype_ontology,celltype_name,logfoldchange_rank,pval_rank
341067,289,SCT000000266,ANO000000170,1,Gene:hsa:25793,4.26,t-test,5.21E-22,2.70E-21,12.7,1,root,25793,3515,,Erythroid_Cell,24,27
341068,289,SCT000000266,ANO000000170,1,Gene:hsa:760,4.74,t-test,7.62E-22,3.93E-21,12.6,1,root,760,3515,,Erythroid_Cell,20,28
341069,289,SCT000000266,ANO000000170,1,Gene:hsa:55363,9.29,t-test,1.03E-20,5.13E-20,12.1,1,root,55363,3515,,Erythroid_Cell,10,29
341070,289,SCT000000266,ANO000000170,1,Gene:hsa:2235,5.93,t-test,8.27E-20,4.01E-19,11.6,1,root,2235,3515,,Erythroid_Cell,17,30
341071,289,SCT000000266,ANO000000170,1,Gene:hsa:10398,8.68,t-test,3.05E-32,3.19E-31,41.9,1,root,10398,3532,,Hepatic_Stellate_Cell,7,1
341072,289,SCT000000266,ANO000000170,1,Gene:hsa:6876,7.59,t-test,1.29E-29,1.26E-28,35.1,1,root,6876,3532,,Hepatic_Stellate_Cell,9,2
341073,289,SCT000000266,ANO000000170,1,Gene:hsa:3490,5.53,t-test,8.22E-27,7.46E-26,28.7,1,root,3490,3532,,Hepatic_Stellate_Cell,17,3
341074,289,SCT000000266,ANO000000170,1,Gene:hsa:4637,1.44,t-test,1.60E-23,1.32E-22,20.9,1,root,4637,3532,,Hepatic_Stellate_Cell,28,4
341075,289,SCT000000266,ANO000000170,1,Gene:hsa:1634,9.92,t-test,7.26E-21,5.52E-20,19.7,1,root,1634,3532,,Hepatic_Stellate_Cell,3,5
341076,289,SCT000000266,ANO000000170,1,Gene:hsa:633,7.4,t-test,1.13E-19,8.36E-19,18.1,1,root,633,3532,,Hepatic_Stellate_Cell,11,6
341077,289,SCT000000266,ANO000000170,1,Gene:hsa:7076,3.62,t-test,1.69E-17,1.17E-16,15.3,1,root,7076,3532,,Hepatic_Stellate_Cell,20,7
341078,289,SCT000000266,ANO000000170,1,Gene:hsa:967,2.23,t-test,2.40E-17,1.65E-16,14.9,1,root,967,3532,,Hepatic_Stellate_Cell,25,8
341079,289,SCT000000266,ANO000000170,1,Gene:hsa:59,8.75,t-test,6.31E-17,4.29E-16,14.8,1,root,59,3532,,Hepatic_Stellate_Cell,6,9
341080,289,SCT000000266,ANO000000170,1,Gene:hsa:7431,3.12,t-test,2.06E-16,1.38E-15,14.1,1,root,7431,3532,,Hepatic_Stellate_Cell,23,10
341081,289,SCT000000266,ANO000000170,1,Gene:hsa:1278,10.1,t-test,7.22E-16,4.74E-15,13.7,1,root,1278,3532,,Hepatic_Stellate_Cell,2,12
341082,289,SCT000000266,ANO000000170,1,Gene:hsa:1281,9.61,t-test,8.29E-16,5.43E-15,13.7,1,root,1281,3532,,Hepatic_Stellate_Cell,5,13
341083,289,SCT000000266,ANO000000170,1,Gene:hsa:3956,3.18,t-test,6.25E-16,4.11E-15,13.6,1,root,3956,3532,,Hepatic_Stellate_Cell,22,11
341084,289,SCT000000266,ANO000000170,1,Gene:hsa:7168,4.92,t-test,2.29E-15,1.48E-14,13.2,1,root,7168,3532,,Hepatic_Stellate_Cell,19,14
341085,289,SCT000000266,ANO000000170,1,Gene:hsa:800,3.56,t-test,7.07E-15,4.48E-14,12.6,1,root,800,3532,,Hepatic_Stellate_Cell,21,15
341086,289,SCT000000266,ANO000000170,1,Gene:hsa:6678,5.64,t-test,3.83E-14,2.36E-13,12,1,root,6678,3532,,Hepatic_Stellate_Cell,16,16
341087,289,SCT000000266,ANO000000170,1,Gene:hsa:10410,1.84,t-test,5.76E-14,3.53E-13,11.6,1,root,10410,3532,,Hepatic_Stellate_Cell,26,17
341088,289,SCT000000266,ANO000000170,1,Gene:hsa:1292,6.74,t-test,2.32E-13,1.40E-12,11.3,1,root,1292,3532,,Hepatic_Stellate_Cell,12,18
341089,289,SCT000000266,ANO000000170,1,Gene:hsa:6277,3.11,t-test,3.01E-13,1.80E-12,11.1,1,root,6277,3532,,Hepatic_Stellate_Cell,24,19
341090,289,SCT000000266,ANO000000170,1,Gene:hsa:56944,9.74,t-test,4.86E-13,2.89E-12,11,1,root,56944,3532,,Hepatic_Stellate_Cell,4,20
341091,289,SCT000000266,ANO000000170,1,Gene:hsa:1277,10.5,t-test,6.94E-13,4.11E-12,10.8,1,root,1277,3532,,Hepatic_Stellate_Cell,1,21
341092,289,SCT000000266,ANO000000170,1,Gene:hsa:78989,7.52,t-test,9.49E-13,5.57E-12,10.7,1,root,78989,3532,,Hepatic_Stellate_Cell,10,22
341093,289,SCT000000266,ANO000000170,1,Gene:hsa:1284,6.67,t-test,1.25E-12,7.29E-12,10.6,1,root,1284,3532,,Hepatic_Stellate_Cell,13,23
341094,289,SCT000000266,ANO000000170,1,Gene:hsa:60,0.718,t-test,4.52E-12,2.57E-11,9.94,1,root,60,3532,,Hepatic_Stellate_Cell,29,24
341095,289,SCT000000266,ANO000000170,1,Gene:hsa:94274,5.94,t-test,8.55E-12,4.80E-11,9.88,1,root,94274,3532,,Hepatic_Stellate_Cell,14,26
341096,289,SCT000000266,ANO000000170,1,Gene:hsa:5768,5.67,t-test,1.06E-11,5.95E-11,9.79,1,root,5768,3532,,Hepatic_Stellate_Cell,15,28
341097,289,SCT000000266,ANO000000170,1,Gene:hsa:71,1.5,t-test,9.64E-12,5.41E-11,9.71,1,root,71,3532,,Hepatic_Stellate_Cell,27,27
341098,289,SCT000000266,ANO000000170,1,Gene:hsa:6134,0.481,t-test,5.73E-12,3.24E-11,9.71,1,root,6134,3532,,Hepatic_Stellate_Cell,30,25
341099,289,SCT000000266,ANO000000170,1,Gene:hsa:7169,8.21,t-test,3.44E-11,1.89E-10,9.37,1,root,7169,3532,,Hepatic_Stellate_Cell,8,29
341100,289,SCT000000266,ANO000000170,1,Gene:hsa:11167,5.07,t-test,5.30E-11,2.87E-10,9.21,1,root,11167,3532,,Hepatic_Stellate_Cell,18,30
341101,289,SCT000000266,ANO000000170,1,Gene:hsa:283,3.37,t-test,0,0,123,1,root,283,3544,,Hepatocyte_1,3,1
