id,omics_id,sample_id
155892,SCT000000274,SAM000183266
155893,SCT000000274,SAM000183268
155894,SCT000000274,SAM000183269
155895,SCT000000274,SAM000183270
155896,SCT000000274,SAM000183271
155897,SCT000000274,SAM000183272
155898,SCT000000274,SAM000183273
155899,SCT000000274,SAM000183274
155900,SCT000000274,SAM000183275
155901,SCT000000274,SAM000183276
155902,SCT000000274,SAM000183277
155903,SCT000000274,SAM000183278
155904,SCT000000274,SAM000183279
155905,SCT000000274,SAM000183280
155906,SCT000000274,SAM000183267
155907,SCT000000274,SAM000182975
155908,SCT000000274,SAM000183316
155909,SCT000000274,SAM000183318
155910,SCT000000274,SAM000183352
155911,SCT000000274,SAM000183353
155912,SCT000000274,SAM000183354
155913,SCT000000274,SAM000183356
155914,SCT000000274,SAM000183357
155915,SCT000000274,SAM000183358
155916,SCT000000274,SAM000183359
155917,SCT000000274,SAM000183360
155918,SCT000000274,SAM000183361
155919,SCT000000274,SAM000183362
155920,SCT000000274,SAM000183363
155921,SCT000000274,SAM000183364
155922,SCT000000274,SAM000183366
155923,SCT000000274,SAM000183351
155924,SCT000000274,SAM000183367
155925,SCT000000274,SAM000183369
155926,SCT000000274,SAM000183370
155927,SCT000000274,SAM000183371
155928,SCT000000274,SAM000183372
155929,SCT000000274,SAM000183373
155930,SCT000000274,SAM000183374
155931,SCT000000274,SAM000183375
155932,SCT000000274,SAM000183376
155933,SCT000000274,SAM000183377
155934,SCT000000274,SAM000183378
155935,SCT000000274,SAM000183379
155936,SCT000000274,SAM000183380
155937,SCT000000274,SAM000183381
155938,SCT000000274,SAM000183368
155939,SCT000000274,SAM000183317
155940,SCT000000274,SAM000183350
155941,SCT000000274,SAM000183347
155942,SCT000000274,SAM000183319
155943,SCT000000274,SAM000183320
155944,SCT000000274,SAM000183321
155945,SCT000000274,SAM000183322
155946,SCT000000274,SAM000183323
155947,SCT000000274,SAM000183324
155948,SCT000000274,SAM000183325
155949,SCT000000274,SAM000183326
155950,SCT000000274,SAM000183327
155951,SCT000000274,SAM000183328
155952,SCT000000274,SAM000183329
155953,SCT000000274,SAM000183330
155954,SCT000000274,SAM000183331
155955,SCT000000274,SAM000183349
155956,SCT000000274,SAM000183332
155957,SCT000000274,SAM000183334
155958,SCT000000274,SAM000183335
155959,SCT000000274,SAM000183336
155960,SCT000000274,SAM000183337
155961,SCT000000274,SAM000183338
155962,SCT000000274,SAM000183339
155963,SCT000000274,SAM000183340
155964,SCT000000274,SAM000183341
155965,SCT000000274,SAM000183342
155966,SCT000000274,SAM000183343
155967,SCT000000274,SAM000183344
155968,SCT000000274,SAM000183345
155969,SCT000000274,SAM000183346
155970,SCT000000274,SAM000183333
155971,SCT000000274,SAM000182973
155972,SCT000000274,SAM000182972
155973,SCT000000274,SAM000182971
155974,SCT000000274,SAM000182617
155975,SCT000000274,SAM000182618
155976,SCT000000274,SAM000182619
155977,SCT000000274,SAM000182620
155978,SCT000000274,SAM000182622
155979,SCT000000274,SAM000182623
155980,SCT000000274,SAM000182624
155981,SCT000000274,SAM000182625
