project_id,omics_id,experiment_id,protocol,sample_relationship,species,description,organ,sample_number,cell_number
PRO000000022,SCT000000022,EPT000000022,p1,independent,Homo sapiens,,lung,17,77638
PRO000000023,SCT000000023,EPT000000023,p1,independent,Homo sapiens,,skeletal joint|blood|bodily fluid,8,77035
PRO000000024,SCT000000024,EPT000000024,p1,independent,Mus musculus,,heart,11,68117
PRO000000026,SCT000000026,EPT000000026,p1,independent,Mus musculus,,nose,8,62913
PRO000000027,SCT000000027,EPT000000027,p1,independent,Homo sapiens,,blood|spleen|liver,9,61144
PRO000000028,SCT000000028,EPT000000028,p1,independent,Mus musculus,,embryo,1,60544
PRO000000029,SCT000000029,EPT000000029,p1,independent,Homo sapiens,,intestine,27,60383
PRO000000030,SCT000000030,EPT000000030,p1,independent,Homo sapiens,,blood vessel,11,59102
PRO000000031,SCT000000031,EPT000000031,p1,independent,Homo sapiens,,blood,1,57109
PRO000000033,SCT000000033,EPT000000033,p1,independent,Mus musculus,,mammary gland|intestine|liver|thymus|kidney|muscle organ|blood vessel|bone marrow|brain|pancreas|heart|spleen|urinary bladder|lung|adipose tissue|gonad|trachea|tongue|skin of body,51220,51220
PRO000000034,SCT000000034,EPT000000034,p1,independent,Homo sapiens,,gonad,8,51504
PRO000000038,SCT000000038,EPT000000038,p1,independent,Mus musculus,,nose,8,46974
PRO000000039,SCT000000039,EPT000000039,p1,independent,Mus musculus,,heart,7,41779
PRO000000040,SCT000000040,EPT000000040,p1,independent,Mus musculus,,lung|muscle organ|heart|intestine|brain|spleen|liver|gonad|kidney,11,40474
PRO000000041,SCT000000041,EPT000000041,p1,independent,Mus musculus,,heart,8,39686
PRO000000042,SCT000000042,EPT000000042,p1,independent,Homo sapiens,,uvea,8,38129
PRO000000043,SCT000000043,EPT000000043,p1,independent,Mus musculus,,lymph node|intestine|spleen|mesenteric lymph node|skin of body,10,38071
PRO000000044,SCT000000044,EPT000000044,p1,independent,Homo sapiens,,brain,6,37586
PRO000000046,SCT000000046,EPT000000046,p1,independent,Mus musculus,,brain,4,35927
PRO000000047,SCT000000047,EPT000000047,p1,independent,Homo sapiens,,brain,21,34348
PRO000000048,SCT000000048,EPT000000048,p1,independent,Homo sapiens,,lung,12,33209
PRO000000049,SCT000000049,EPT000000049,p1,independent,Homo sapiens,,embryo,13,33162
PRO000000051,SCT000000051,EPT000000051,p1,independent,Homo sapiens,,bone marrow,9,32445
PRO000000052,SCT000000052,EPT000000052,p1,independent,Mus musculus,,lung,11,32369
PRO000000053,SCT000000053,EPT000000053,p1,independent,Homo sapiens,,gonad,11,31565
PRO000000055,SCT000000055,EPT000000055,p1,independent,Mus musculus,,esophagus,12,30866
PRO000000056,SCT000000056,EPT000000056,p1,independent,Mus musculus,,pancreas,8,30582
PRO000000057,SCT000000057,EPT000000057,p1,independent,Mus musculus,,thymus,6,29701
PRO000000058,SCT000000058,EPT000000058,p1,independent,Mus musculus,,embryo,4,26107
PRO000000059,SCT000000059,EPT000000059,p1,independent,Homo sapiens,,skin of body,6,25146
PRO000000060,SCT000000060,EPT000000060,p1,independent,Mus musculus,,embryo,4,23517
PRO000000062,SCT000000062,EPT000000062,p1,independent,Homo sapiens,,skin of body,3,23474
PRO000000063,SCT000000063,EPT000000063,p1,independent,Homo sapiens,,eye,14,23280
PRO000000064,SCT000000064,EPT000000064,p1,independent,Homo sapiens,,pancreas,9,22753
PRO000000065,SCT000000065,EPT000000065,p1,independent,Homo sapiens,,brain,12,22566
PRO000000066,SCT000000066,EPT000000066,p1,independent,Mus musculus,,skin of body,3,22530
PRO000000067,SCT000000067,EPT000000067,p1,independent,Homo sapiens,,eye,5,20520
PRO000000068,SCT000000068,EPT000000068,p1,independent,Homo sapiens,,embryo,5,20426
PRO000000069,SCT000000069,EPT000000069,p1,independent,Homo sapiens,,bodily fluid,1,20321
PRO000000070,SCT000000070,EPT000000070,p1,independent,Mus musculus,,spleen,1,19115
PRO000000071,SCT000000071,EPT000000071,p1,independent,Mus musculus,,lung,10,18818
PRO000000072,SCT000000072,EPT000000072,p1,independent,Homo sapiens,,intestine,6,18540
PRO000000073,SCT000000073,EPT000000073,p1,independent,Homo sapiens,,blood,2,18508
PRO000000075,SCT000000075,EPT000000075,p1,independent,Homo sapiens,,embryo|placenta,3,17611
PRO000000076,SCT000000076,EPT000000076,p1,independent,Mus musculus,,embryo,1,16937
PRO000000077,SCT000000077,EPT000000077,p1,independent,Homo sapiens,,embryo,6,16094
PRO000000081,SCT000000081,EPT000000081,p1,independent,Homo sapiens,,embryo|placenta,11,12509
PRO000000082,SCT000000082,EPT000000082,p1,independent,Mus musculus,,lung,15,12271
PRO000000083,SCT000000083,EPT000000083,p1,independent,Mus musculus,,spleen,5,12202
PRO000000085,SCT000000085,EPT000000085,p1,independent,Homo sapiens,,epididymis,3,11765
PRO000000087,SCT000000087,EPT000000087,p1,independent,Mus musculus,,heart,1,11579
PRO000000088,SCT000000088,EPT000000088,p1,independent,Homo sapiens,,liver,5,11265
PRO000000089,SCT000000089,EPT000000089,p1,independent,Mus musculus,,liver,2,11163
PRO000000092,SCT000000092,EPT000000092,p1,independent,Homo sapiens,,skin of body,1,10475
PRO000000093,SCT000000093,EPT000000093,p1,independent,Homo sapiens,,umbilical cord,4,10316
PRO000000094,SCT000000094,EPT000000094,p1,independent,Mus musculus,,thymus,1,10298
PRO000000099,SCT000000099,EPT000000099,p1,independent,Mus musculus,,thymus,1,8911
PRO000000100,SCT000000100,EPT000000100,p1,independent,Mus musculus,,eye,2,8846
PRO000000102,SCT000000102,EPT000000102,p1,independent,Homo sapiens,,pleura,1,8281
PRO000000104,SCT000000104,EPT000000104,p1,independent,Mus musculus,,blood vessel,1,7999
PRO000000105,SCT000000105,EPT000000105,p1,independent,Homo sapiens,,placenta|blood,7484,7484
PRO000000106,SCT000000106,EPT000000106,p1,independent,Mus musculus,,heart,1,7596
PRO000000107,SCT000000107,EPT000000107,p1,independent,Homo sapiens,,eye,6,7275
PRO000000108,SCT000000108,EPT000000108,p1,independent,Mus musculus,,lung,4,7052
PRO000000109,SCT000000109,EPT000000109,p1,independent,Mus musculus,,lymph node|skin of body,6454,6454
PRO000000110,SCT000000110,EPT000000110,p1,independent,Mus musculus,,lymph node|skin of body,6432,6432
PRO000000112,SCT000000112,EPT000000112,p1,independent,Mus musculus,,heart,2,6250
PRO000000114,SCT000000114,EPT000000114,p1,independent,Homo sapiens,,embryo,3,6209
