sample_id,omics_id,sample_name,organ,species,sample_number,cell_number
SAM000181798,SCT000000271,357818_primary focus_RNA-seq,bile duct,Homo sapiens,32,47940
SAM000181810,SCT000000271,230723_peripheral blood_RNA-seq,blood,Homo sapiens,32,47940
SAM000181808,SCT000000271,230723_lymph node_RNA-seq,lymph node,Homo sapiens,32,47940
SAM000181818,SCT000000272,Lin-negative single-cell of bilio-vascular tree fragments,liver,Mus musculus,21,6306
SAM000181842,SCT000000273,P0407,specific cell,Homo sapiens,6,5063
SAM000181841,SCT000000273,P0322,specific cell,Homo sapiens,6,5063
SAM000181843,SCT000000273,P1116,specific cell,Homo sapiens,6,5063
SAM000181840,SCT000000273,P0508,specific cell,Homo sapiens,6,5063
SAM000181839,SCT000000273,P0205,specific cell,Homo sapiens,6,5063
SAM000181844,SCT000000273,P1202t,specific cell,Homo sapiens,6,5063
SAM000183013,SCT000000274,RHP4617 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183148,SCT000000274,RHP4752 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183149,SCT000000274,RHP4753 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183150,SCT000000274,RHP4754 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183151,SCT000000274,RHP4755 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183153,SCT000000274,RHP4757 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183154,SCT000000274,RHP4758 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183155,SCT000000274,RHP4759 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183156,SCT000000274,RHP4760 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183157,SCT000000274,RHP4761 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183158,SCT000000274,RHP4762 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183159,SCT000000274,RHP4763 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183160,SCT000000274,RHP4764 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183161,SCT000000274,RHP4765 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183162,SCT000000274,RHP4766 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183163,SCT000000274,RHP4767 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183164,SCT000000274,RHP4768 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183165,SCT000000274,RHP4769 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183166,SCT000000274,RHP4770 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183167,SCT000000274,RHP4771 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183168,SCT000000274,RHP4772 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183169,SCT000000274,RHP4773 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183170,SCT000000274,RHP4774 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183171,SCT000000274,RHP4775 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183172,SCT000000274,RHP4776 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183173,SCT000000274,RHP4777 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183174,SCT000000274,RHP4778 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183175,SCT000000274,RHP4779 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183147,SCT000000274,RHP4751 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183146,SCT000000274,RHP4750 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183145,SCT000000274,RHP4749 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183144,SCT000000274,RHP4748 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183114,SCT000000274,RHP4718 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183115,SCT000000274,RHP4719 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183116,SCT000000274,RHP4720 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183117,SCT000000274,RHP4721 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183118,SCT000000274,RHP4722 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183119,SCT000000274,RHP4723 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183120,SCT000000274,RHP4724 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183121,SCT000000274,RHP4725 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183122,SCT000000274,RHP4726 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183123,SCT000000274,RHP4727 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183124,SCT000000274,RHP4728 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183125,SCT000000274,RHP4729 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183127,SCT000000274,RHP4731 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183176,SCT000000274,RHP4780 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183128,SCT000000274,RHP4732 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183130,SCT000000274,RHP4734 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183131,SCT000000274,RHP4735 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183132,SCT000000274,RHP4736 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183133,SCT000000274,RHP4737 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183134,SCT000000274,RHP4738 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183135,SCT000000274,RHP4739 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183136,SCT000000274,RHP4740 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183137,SCT000000274,RHP4741 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183138,SCT000000274,RHP4742 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183139,SCT000000274,RHP4743 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183140,SCT000000274,RHP4744 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183141,SCT000000274,RHP4745 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183143,SCT000000274,RHP4747 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183129,SCT000000274,RHP4733 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183177,SCT000000274,RHP4781 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183179,SCT000000274,RHP4783 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183180,SCT000000274,RHP4784 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183214,SCT000000274,RHP4818 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183215,SCT000000274,RHP4819 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183216,SCT000000274,RHP4820 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183218,SCT000000274,RHP4822 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183219,SCT000000274,RHP4823 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183220,SCT000000274,RHP4824 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183221,SCT000000274,RHP4825 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183222,SCT000000274,RHP4826 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183223,SCT000000274,RHP4827 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183224,SCT000000274,RHP4828 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183225,SCT000000274,RHP4829 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183226,SCT000000274,RHP4830 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183227,SCT000000274,RHP4831 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183213,SCT000000274,RHP4817 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183228,SCT000000274,RHP4832 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183230,SCT000000274,RHP4834 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183231,SCT000000274,RHP4835 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183232,SCT000000274,RHP4836 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183233,SCT000000274,RHP4837 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183234,SCT000000274,RHP4838 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183235,SCT000000274,RHP4839 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183236,SCT000000274,RHP4840 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183237,SCT000000274,RHP4841 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183238,SCT000000274,RHP4842 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183239,SCT000000274,RHP4843 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183240,SCT000000274,RHP4844 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183241,SCT000000274,RHP4845 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183242,SCT000000274,RHP4846 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183229,SCT000000274,RHP4833 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183112,SCT000000274,RHP4716 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183212,SCT000000274,RHP4816 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183210,SCT000000274,RHP4814 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183181,SCT000000274,RHP4785 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183182,SCT000000274,RHP4786 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183183,SCT000000274,RHP4787 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183184,SCT000000274,RHP4788 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183185,SCT000000274,RHP4789 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183186,SCT000000274,RHP4790 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183187,SCT000000274,RHP4791 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183188,SCT000000274,RHP4792 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183189,SCT000000274,RHP4793 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183190,SCT000000274,RHP4794 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183191,SCT000000274,RHP4795 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183192,SCT000000274,RHP4796 scRNA-Seq,liver,Homo sapiens,2238,2036
