sample_name,sample_id,cell_number
RHP4582 scRNA-Seq,SAM000182978,2036
RHP4583 scRNA-Seq,SAM000182979,2036
RHP4584 scRNA-Seq,SAM000182980,2036
RHP4585 scRNA-Seq,SAM000182981,2036
RHP4586 scRNA-Seq,SAM000182982,2036
RHP4587 scRNA-Seq,SAM000182983,2036
RHP4588 scRNA-Seq,SAM000182984,2036
RHP4589 scRNA-Seq,SAM000182985,2036
RHP4590 scRNA-Seq,SAM000182986,2036
RHP4591 scRNA-Seq,SAM000182987,2036
RHP4592 scRNA-Seq,SAM000182988,2036
RHP4593 scRNA-Seq,SAM000182989,2036
RHP4594 scRNA-Seq,SAM000182990,2036
RHP4595 scRNA-Seq,SAM000182991,2036
RHP4596 scRNA-Seq,SAM000182992,2036
RHP4597 scRNA-Seq,SAM000182993,2036
RHP4598 scRNA-Seq,SAM000182994,2036
RHP4599 scRNA-Seq,SAM000182995,2036
RHP4601 scRNA-Seq,SAM000182997,2036
RHP4602 scRNA-Seq,SAM000182998,2036
RHP4603 scRNA-Seq,SAM000182999,2036
RHP4604 scRNA-Seq,SAM000183000,2036
RHP4605 scRNA-Seq,SAM000183001,2036
RHP4606 scRNA-Seq,SAM000183002,2036
RHP4607 scRNA-Seq,SAM000183003,2036
RHP4608 scRNA-Seq,SAM000183004,2036
RHP4609 scRNA-Seq,SAM000183005,2036
RHP4610 scRNA-Seq,SAM000183006,2036
RHP4611 scRNA-Seq,SAM000183007,2036
RHP4612 scRNA-Seq,SAM000183008,2036
RHP4613 scRNA-Seq,SAM000183009,2036
RHP4614 scRNA-Seq,SAM000183010,2036
RHP4615 scRNA-Seq,SAM000183011,2036
RHP4616 scRNA-Seq,SAM000183012,2036
RHP4617 scRNA-Seq,SAM000183013,2036
RHP4618 scRNA-Seq,SAM000183014,2036
RHP4619 scRNA-Seq,SAM000183015,2036
RHP4620 scRNA-Seq,SAM000183016,2036
RHP4621 scRNA-Seq,SAM000183017,2036
RHP4622 scRNA-Seq,SAM000183018,2036
RHP4623 scRNA-Seq,SAM000183019,2036
RHP4624 scRNA-Seq,SAM000183020,2036
RHP4625 scRNA-Seq,SAM000183021,2036
RHP4626 scRNA-Seq,SAM000183022,2036
RHP4627 scRNA-Seq,SAM000183023,2036
RHP4628 scRNA-Seq,SAM000183024,2036
RHP4629 scRNA-Seq,SAM000183025,2036
RHP4630 scRNA-Seq,SAM000183026,2036
RHP4631 scRNA-Seq,SAM000183027,2036
RHP4632 scRNA-Seq,SAM000183028,2036
RHP4633 scRNA-Seq,SAM000183029,2036
RHP4634 scRNA-Seq,SAM000183030,2036
RHP4635 scRNA-Seq,SAM000183031,2036
RHP4636 scRNA-Seq,SAM000183032,2036
RHP4637 scRNA-Seq,SAM000183033,2036
RHP4638 scRNA-Seq,SAM000183034,2036
RHP4639 scRNA-Seq,SAM000183035,2036
RHP4640 scRNA-Seq,SAM000183036,2036
RHP4641 scRNA-Seq,SAM000183037,2036
RHP4642 scRNA-Seq,SAM000183038,2036
RHP4643 scRNA-Seq,SAM000183039,2036
RHP4644 scRNA-Seq,SAM000183040,2036
RHP4645 scRNA-Seq,SAM000183041,2036
RHP4646 scRNA-Seq,SAM000183042,2036
RHP4647 scRNA-Seq,SAM000183043,2036
RHP4648 scRNA-Seq,SAM000183044,2036
RHP4649 scRNA-Seq,SAM000183045,2036
RHP4650 scRNA-Seq,SAM000183046,2036
RHP4651 scRNA-Seq,SAM000183047,2036
RHP4652 scRNA-Seq,SAM000183048,2036
RHP4653 scRNA-Seq,SAM000183049,2036
RHP4654 scRNA-Seq,SAM000183050,2036
RHP4655 scRNA-Seq,SAM000183051,2036
RHP4656 scRNA-Seq,SAM000183052,2036
RHP4657 scRNA-Seq,SAM000183053,2036
RHP4658 scRNA-Seq,SAM000183054,2036
RHP4659 scRNA-Seq,SAM000183055,2036
RHP4660 scRNA-Seq,SAM000183056,2036
RHP4661 scRNA-Seq,SAM000183057,2036
RHP4662 scRNA-Seq,SAM000183058,2036
RHP4663 scRNA-Seq,SAM000183059,2036
RHP4664 scRNA-Seq,SAM000183060,2036
RHP4665 scRNA-Seq,SAM000183061,2036
RHP4666 scRNA-Seq,SAM000183062,2036
RHP4667 scRNA-Seq,SAM000183063,2036
RHP4668 scRNA-Seq,SAM000183064,2036
RHP4669 scRNA-Seq,SAM000183065,2036
RHP4670 scRNA-Seq,SAM000183066,2036
RHP4671 scRNA-Seq,SAM000183067,2036
RHP4672 scRNA-Seq,SAM000183068,2036
RHP4673 scRNA-Seq,SAM000183069,2036
RHP4674 scRNA-Seq,SAM000183070,2036
RHP4675 scRNA-Seq,SAM000183071,2036
RHP4676 scRNA-Seq,SAM000183072,2036
RHP4677 scRNA-Seq,SAM000183073,2036
RHP4678 scRNA-Seq,SAM000183074,2036
RHP4679 scRNA-Seq,SAM000183075,2036
RHP4680 scRNA-Seq,SAM000183076,2036
RHP4681 scRNA-Seq,SAM000183077,2036
RHP4682 scRNA-Seq,SAM000183078,2036
RHP4683 scRNA-Seq,SAM000183079,2036
RHP4684 scRNA-Seq,SAM000183080,2036
RHP4685 scRNA-Seq,SAM000183081,2036
RHP4686 scRNA-Seq,SAM000183082,2036
RHP4687 scRNA-Seq,SAM000183083,2036
RHP4688 scRNA-Seq,SAM000183084,2036
RHP4689 scRNA-Seq,SAM000183085,2036
RHP4690 scRNA-Seq,SAM000183086,2036
RHP4691 scRNA-Seq,SAM000183087,2036
RHP4692 scRNA-Seq,SAM000183088,2036
RHP4693 scRNA-Seq,SAM000183089,2036
RHP4694 scRNA-Seq,SAM000183090,2036
RHP4695 scRNA-Seq,SAM000183091,2036
RHP4696 scRNA-Seq,SAM000183092,2036
RHP4697 scRNA-Seq,SAM000183093,2036
RHP4698 scRNA-Seq,SAM000183094,2036
RHP4699 scRNA-Seq,SAM000183095,2036
RHP4700 scRNA-Seq,SAM000183096,2036
RHP4701 scRNA-Seq,SAM000183097,2036
RHP4702 scRNA-Seq,SAM000183098,2036
RHP4703 scRNA-Seq,SAM000183099,2036
RHP4704 scRNA-Seq,SAM000183100,2036
RHP4705 scRNA-Seq,SAM000183101,2036
RHP4706 scRNA-Seq,SAM000183102,2036
RHP4707 scRNA-Seq,SAM000183103,2036
RHP4708 scRNA-Seq,SAM000183104,2036
RHP4709 scRNA-Seq,SAM000183105,2036
RHP4710 scRNA-Seq,SAM000183106,2036
RHP4711 scRNA-Seq,SAM000183107,2036
RHP4712 scRNA-Seq,SAM000183108,2036
RHP4713 scRNA-Seq,SAM000183109,2036
RHP4714 scRNA-Seq,SAM000183110,2036
RHP4715 scRNA-Seq,SAM000183111,2036
RHP4716 scRNA-Seq,SAM000183112,2036
RHP4717 scRNA-Seq,SAM000183113,2036
RHP4718 scRNA-Seq,SAM000183114,2036
RHP4719 scRNA-Seq,SAM000183115,2036
RHP4720 scRNA-Seq,SAM000183116,2036
RHP4721 scRNA-Seq,SAM000183117,2036
RHP4722 scRNA-Seq,SAM000183118,2036
RHP4723 scRNA-Seq,SAM000183119,2036
RHP4724 scRNA-Seq,SAM000183120,2036
RHP4725 scRNA-Seq,SAM000183121,2036
RHP4726 scRNA-Seq,SAM000183122,2036
RHP4727 scRNA-Seq,SAM000183123,2036
RHP4728 scRNA-Seq,SAM000183124,2036
RHP4729 scRNA-Seq,SAM000183125,2036
RHP4730 scRNA-Seq,SAM000183126,2036
RHP4731 scRNA-Seq,SAM000183127,2036
RHP4732 scRNA-Seq,SAM000183128,2036
RHP4733 scRNA-Seq,SAM000183129,2036
RHP4734 scRNA-Seq,SAM000183130,2036
RHP4735 scRNA-Seq,SAM000183131,2036
RHP4736 scRNA-Seq,SAM000183132,2036
RHP4737 scRNA-Seq,SAM000183133,2036
RHP4738 scRNA-Seq,SAM000183134,2036
RHP4739 scRNA-Seq,SAM000183135,2036
RHP4740 scRNA-Seq,SAM000183136,2036
RHP4741 scRNA-Seq,SAM000183137,2036
RHP4742 scRNA-Seq,SAM000183138,2036
RHP4743 scRNA-Seq,SAM000183139,2036
RHP4744 scRNA-Seq,SAM000183140,2036
RHP4745 scRNA-Seq,SAM000183141,2036
RHP4746 scRNA-Seq,SAM000183142,2036
RHP4747 scRNA-Seq,SAM000183143,2036
RHP4748 scRNA-Seq,SAM000183144,2036
RHP4749 scRNA-Seq,SAM000183145,2036
RHP4750 scRNA-Seq,SAM000183146,2036
