project_id,sample_name,sample_id,omics_id,experiment_id,species,description,organ
PRO000000311,NASH liver-whole,SAM000184344,SCT000000291,EPT000000330,Mus musculus,,liver
PRO000000311,NASH liver-tomato positive,SAM000184345,SCT000000291,EPT000000330,Mus musculus,,liver
PRO000000312,Sample 1_AB10014,SAM000184346,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 2_AB10015,SAM000184347,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 3_AB10016,SAM000184348,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 4_AB10019,SAM000184349,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 5_AB10020,SAM000184350,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 6_AB10506,SAM000184351,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 7_AB10507,SAM000184352,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 8_AB10508,SAM000184353,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 9_AB10509,SAM000184354,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 10_AB10510,SAM000184355,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 11_AB10511,SAM000184356,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 12_AB10512,SAM000184357,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 13_AB10513,SAM000184358,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 14_AB10514,SAM000184359,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 15_AB10515,SAM000184360,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 16_AB10516,SAM000184361,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 17_AB10517,SAM000184362,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 18_AB10518,SAM000184363,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 19_AB10519,SAM000184364,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 20_AB10803,SAM000184365,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 21_AB10804,SAM000184366,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 22_AB10805,SAM000184367,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 23_AB10806,SAM000184368,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 24_AB10807,SAM000184369,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 25_AB10808,SAM000184370,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 26_AB10809,SAM000184371,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 27_AB10810,SAM000184372,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 28_AB10811,SAM000184373,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 29_AB10812,SAM000184374,SCT000000292,EPT000000331,Mus musculus,,liver
PRO000000312,Sample 30_AB10813,SAM000184375,SCT000000292,EPT000000331,Mus musculus,,liver
